"Station.ID","UTMX","UTMY"
IT2274A,901.853,4136.896
IT2275A,1073.699,4245.465
IT2276A,1011.665,4574.031
IT2278A,461.091,4908.966
IT2279A,701.359,5173.813
IT2281A,907.220,4138.842
IT2282A,470.311,5031.867
IT2283A,1034.119,4499.088
IT2284A,369.436,5065.685
IT2285A,671.328,5125.789
IT2287A,881.023,4229.250
IT2288A,1047.046,4249.996
IT2289A,862.560,4837.916
IT2291A,1104.785,4521.254
IT2292A,409.043,4881.603
IT2294A,395.850,4950.943
IT2297A,881.156,4226.407
IT2298A,476.522,4928.387
IT2299A,442.740,4916.498
IT2300A,594.556,5043.948
IT2301A,598.141,5040.227
IT2303A,455.498,4900.131
IT2304A,452.998,4913.982
IT2305A,741.548,4670.886
IT2306A,906.863,4138.754
IT2307A,903.505,4137.793
IT2308A,895.083,4224.959
IT2309A,1046.146,4241.990
IT2310A,946.679,4161.216
IT2311A,1037.169,4169.006
IT2312A,967.907,4115.064
IT2314A,1021.593,4080.788
IT2315A,1038.969,4176.607
IT2316A,1045.175,4123.187
IT2317A,1057.381,4122.812
IT2318A,827.009,4199.296
IT2319A,759.920,5036.711
IT2320A,685.875,5038.850
T02258A,734.517,4658.373
